,name,folder,video_seq,traction,barre,torse
0,im_1,images5,1,1,"[0.48643410852713176, 0.24031007751937986]","[0.4903100775193798, 0.5562015503875969]"
1,im_16,images5,1,1,"[0.49224806201550386, 0.24612403100775193]","[0.4844961240310077, 0.5581395348837209]"
2,im_31,images5,1,1,"[0.48643410852713176, 0.23449612403100775]","[0.4786821705426357, 0.45930232558139533]"
3,im_46,images5,1,1,"[0.4883720930232558, 0.23837209302325582]","[0.48255813953488375, 0.3643410852713178]"
4,im_61,images5,1,1,"[0.4941860465116279, 0.24031007751937986]","[0.4844961240310077, 0.32751937984496127]"
5,im_76,images5,1,1,"[0.48643410852713176, 0.24224806201550386]","[0.48643410852713176, 0.3391472868217054]"
6,im_91,images5,1,1,"[0.4806201550387597, 0.24224806201550386]","[0.48255813953488375, 0.38953488372093026]"
7,im_106,images5,1,1,"[0.4903100775193798, 0.23449612403100775]","[0.48255813953488375, 0.43023255813953487]"
8,im_121,images5,1,1,"[0.48643410852713176, 0.24224806201550386]","[0.4844961240310077, 0.45930232558139533]"
9,im_136,images5,1,1,"[0.4883720930232558, 0.24612403100775193]","[0.48255813953488375, 0.47093023255813954]"
10,im_151,images5,1,1,"[0.4844961240310077, 0.24224806201550386]","[0.4844961240310077, 0.4806201550387597]"
11,im_166,images5,1,1,"[0.4844961240310077, 0.24224806201550386]","[0.4903100775193798, 0.5213178294573644]"
12,im_181,images5,1,1,"[0.49612403100775193, 0.23837209302325582]","[0.48643410852713176, 0.5503875968992248]"
13,im_196,images5,1,1,"[0.49224806201550386, 0.24031007751937986]","[0.4903100775193798, 0.45155038759689925]"
14,im_211,images5,1,1,"[0.4883720930232558, 0.23837209302325582]","[0.4903100775193798, 0.34689922480620156]"
15,im_226,images5,1,1,"[0.49224806201550386, 0.24031007751937986]","[0.48255813953488375, 0.32170542635658916]"
16,im_241,images5,1,1,"[0.48643410852713176, 0.23837209302325582]","[0.4844961240310077, 0.3546511627906977]"
17,im_256,images5,1,1,"[0.4883720930232558, 0.2364341085271318]","[0.4883720930232558, 0.4186046511627907]"
18,im_271,images5,1,1,"[0.48643410852713176, 0.2364341085271318]","[0.48255813953488375, 0.47674418604651164]"
19,im_286,images5,1,1,"[0.4844961240310077, 0.24031007751937986]","[0.48643410852713176, 0.5406976744186046]"
20,im_301,images5,1,1,"[0.4941860465116279, 0.23449612403100775]","[0.48643410852713176, 0.5581395348837209]"
21,im_316,images5,1,1,"[0.49224806201550386, 0.2364341085271318]","[0.5, 0.5484496124031008]"
22,im_331,images5,1,1,"[0.4883720930232558, 0.23837209302325582]","[0.4844961240310077, 0.5135658914728682]"
23,im_346,images5,1,1,"[0.4883720930232558, 0.24224806201550386]","[0.4903100775193798, 0.35852713178294576]"
24,im_361,images5,1,1,"[0.48643410852713176, 0.23837209302325582]","[0.48643410852713176, 0.3372093023255814]"
25,im_376,images5,1,1,"[0.4883720930232558, 0.24031007751937986]","[0.48643410852713176, 0.34108527131782945]"
26,im_391,images5,1,1,"[0.48643410852713176, 0.24031007751937986]","[0.48643410852713176, 0.3875968992248062]"
27,im_406,images5,1,1,"[0.49224806201550386, 0.24031007751937986]","[0.4883720930232558, 0.40891472868217055]"
28,im_421,images5,1,1,"[0.48643410852713176, 0.23837209302325582]","[0.4806201550387597, 0.436046511627907]"
29,im_436,images5,1,1,"[0.4883720930232558, 0.24224806201550386]","[0.4903100775193798, 0.46705426356589147]"
30,im_451,images5,1,1,"[0.4903100775193798, 0.23837209302325582]","[0.49224806201550386, 0.5116279069767442]"
31,im_466,images5,1,1,"[0.4903100775193798, 0.24612403100775193]","[0.5, 0.5213178294573644]"
32,im_481,images5,1,1,"[0.4883720930232558, 0.23449612403100775]","[0.4631782945736434, 0.5348837209302325]"
33,im_496,images5,1,1,"[0.4806201550387597, 0.2441860465116279]","[0.45348837209302323, 0.5852713178294574]"
