,name,folder,video_seq,traction,barre,torse
0,im_1,images2,1,0,"[0.0, 0.0]","[0.0, 0.0]"
1,im_16,images2,1,0,"[0.0, 0.0]","[0.0, 0.0]"
2,im_19,images2,1,0,"[0.0, 0.0]","[0.0, 0.0]"
3,im_20,images2,1,0,"[0.0, 0.0]","[0.0, 0.0]"
4,im_35,images2,1,1,"[0.5096899224806202, 0.16666666666666666]","[0.5155038759689923, 0.4437984496124031]"
5,im_50,images2,1,1,"[0.5058139534883721, 0.16085271317829458]","[0.49806201550387597, 0.4941860465116279]"
6,im_65,images2,1,1,"[0.5, 0.1569767441860465]","[0.5038759689922481, 0.2693798449612403]"
7,im_80,images2,1,1,"[0.5116279069767442, 0.16085271317829458]","[0.49612403100775193, 0.40891472868217055]"
8,im_95,images2,1,1,"[0.5135658914728682, 0.17054263565891473]","[0.5038759689922481, 0.48643410852713176]"
9,im_110,images2,1,1,"[0.5135658914728682, 0.1686046511627907]","[0.5038759689922481, 0.3333333333333333]"
10,im_125,images2,1,1,"[0.5, 0.16279069767441862]","[0.5155038759689923, 0.20155038759689922]"
11,im_140,images2,1,1,"[0.5135658914728682, 0.1686046511627907]","[0.5232558139534884, 0.22674418604651161]"
12,im_155,images2,1,1,"[0.5096899224806202, 0.17054263565891473]","[0.5116279069767442, 0.34689922480620156]"
13,im_170,images2,1,1,"[0.5077519379844961, 0.1569767441860465]","[0.49224806201550386, 0.47093023255813954]"
14,im_185,images2,1,1,"[0.5193798449612403, 0.16666666666666666]","[0.5, 0.4883720930232558]"
15,im_200,images2,1,1,"[0.5155038759689923, 0.17248062015503876]","[0.5077519379844961, 0.36627906976744184]"
16,im_215,images2,1,1,"[0.5135658914728682, 0.17054263565891473]","[0.5135658914728682, 0.17829457364341086]"
17,im_230,images2,1,1,"[0.5116279069767442, 0.1744186046511628]","[0.5096899224806202, 0.2131782945736434]"
18,im_245,images2,1,1,"[0.5096899224806202, 0.17054263565891473]","[0.5077519379844961, 0.36046511627906974]"
19,im_260,images2,1,1,"[0.5038759689922481, 0.16472868217054262]","[0.4903100775193798, 0.5058139534883721]"
20,im_275,images2,1,1,"[0.5135658914728682, 0.16085271317829458]","[0.49806201550387597, 0.5135658914728682]"
21,im_290,images2,1,1,"[0.5155038759689923, 0.16666666666666666]","[0.5038759689922481, 0.5155038759689923]"
22,im_305,images2,1,1,"[0.5116279069767442, 0.16279069767441862]","[0.49612403100775193, 0.48255813953488375]"
23,im_320,images2,1,1,"[0.5193798449612403, 0.16472868217054262]","[0.5116279069767442, 0.3701550387596899]"
24,im_335,images2,1,1,"[0.5077519379844961, 0.1686046511627907]","[0.5135658914728682, 0.21705426356589147]"
25,im_350,images2,1,1,"[0.5096899224806202, 0.17248062015503876]","[0.5174418604651163, 0.23062015503875968]"
26,im_365,images2,1,1,"[0.5116279069767442, 0.16085271317829458]","[0.49806201550387597, 0.45348837209302323]"
27,im_380,images2,1,1,"[0.5096899224806202, 0.16279069767441862]","[0.49806201550387597, 0.5251937984496124]"
28,im_395,images2,1,1,"[0.5155038759689923, 0.16085271317829458]","[0.5077519379844961, 0.5251937984496124]"
29,im_410,images2,1,1,"[0.5038759689922481, 0.16085271317829458]","[0.5038759689922481, 0.5174418604651163]"
30,im_425,images2,1,1,"[0.5155038759689923, 0.16279069767441862]","[0.49612403100775193, 0.4631782945736434]"
31,im_426,images2,1,0,"[0.0, 0.0]","[0.0, 0.0]"
32,im_441,images2,1,0,"[0.0, 0.0]","[0.0, 0.0]"
33,im_456,images2,1,0,"[0.0, 0.0]","[0.0, 0.0]"
34,im_471,images2,1,0,"[0.0, 0.0]","[0.0, 0.0]"
35,im_486,images2,1,0,"[0.0, 0.0]","[0.0, 0.0]"
36,im_487,images2,1,1,"[0.5155038759689923, 0.16472868217054262]","[0.5096899224806202, 0.5213178294573644]"
37,im_502,images2,1,1,"[0.5155038759689923, 0.16666666666666666]","[0.5058139534883721, 0.5271317829457365]"
38,im_517,images2,1,1,"[0.5155038759689923, 0.1686046511627907]","[0.5058139534883721, 0.5406976744186046]"
39,im_532,images2,1,1,"[0.5135658914728682, 0.16085271317829458]","[0.5058139534883721, 0.562015503875969]"
40,im_547,images2,1,1,"[0.5193798449612403, 0.15891472868217055]","[0.5096899224806202, 0.49612403100775193]"
41,im_562,images2,1,1,"[0.5116279069767442, 0.16279069767441862]","[0.5096899224806202, 0.39147286821705424]"
42,im_577,images2,1,1,"[0.5077519379844961, 0.16085271317829458]","[0.5, 0.24224806201550386]"
43,im_592,images2,1,1,"[0.5116279069767442, 0.16472868217054262]","[0.5116279069767442, 0.39341085271317827]"
44,im_607,images2,1,1,"[0.5116279069767442, 0.1569767441860465]","[0.5096899224806202, 0.501937984496124]"
45,im_622,images2,1,1,"[0.5116279069767442, 0.15503875968992248]","[0.5174418604651163, 0.5213178294573644]"
46,im_637,images2,1,1,"[0.5155038759689923, 0.15503875968992248]","[0.5096899224806202, 0.44573643410852715]"
47,im_652,images2,1,1,"[0.5077519379844961, 0.16279069767441862]","[0.5038759689922481, 0.3507751937984496]"
48,im_667,images2,1,1,"[0.5096899224806202, 0.16279069767441862]","[0.5038759689922481, 0.2596899224806202]"
49,im_682,images2,1,1,"[0.5155038759689923, 0.16279069767441862]","[0.5135658914728682, 0.2616279069767442]"
50,im_697,images2,1,1,"[0.5116279069767442, 0.15891472868217055]","[0.49806201550387597, 0.39341085271317827]"
51,im_712,images2,1,1,"[0.5135658914728682, 0.16666666666666666]","[0.5058139534883721, 0.4941860465116279]"
52,im_727,images2,1,1,"[0.5116279069767442, 0.16085271317829458]","[0.5155038759689923, 0.5077519379844961]"
53,im_742,images2,1,1,"[0.5077519379844961, 0.15891472868217055]","[0.5096899224806202, 0.5406976744186046]"
54,im_757,images2,1,1,"[0.5193798449612403, 0.15891472868217055]","[0.5, 0.4883720930232558]"
55,im_772,images2,1,0,"[0.0, 0.0]","[0.0, 0.0]"
56,im_773,images2,1,0,"[0.0, 0.0]","[0.0, 0.0]"
57,im_788,images2,1,0,"[0.0, 0.0]","[0.0, 0.0]"
