,name,folder,video_seq,traction,barre,torse
0,im_1,images7,1,1,"[0.4689922480620155, 0.14922480620155038]","[0.4748062015503876, 0.4786821705426357]"
1,im_16,images7,1,1,"[0.4728682170542636, 0.14922480620155038]","[0.45542635658914726, 0.32945736434108525]"
2,im_31,images7,1,1,"[0.46705426356589147, 0.15503875968992248]","[0.45348837209302323, 0.24031007751937986]"
3,im_46,images7,1,1,"[0.47093023255813954, 0.15503875968992248]","[0.4573643410852713, 0.2926356589147287]"
4,im_61,images7,1,1,"[0.4689922480620155, 0.1511627906976744]","[0.46124031007751937, 0.3875968992248062]"
5,im_76,images7,1,1,"[0.4689922480620155, 0.14728682170542637]","[0.4631782945736434, 0.43992248062015504]"
6,im_91,images7,1,1,"[0.47674418604651164, 0.14922480620155038]","[0.46705426356589147, 0.46705426356589147]"
7,im_106,images7,1,1,"[0.48255813953488375, 0.1569767441860465]","[0.4689922480620155, 0.43992248062015504]"
8,im_121,images7,1,1,"[0.46511627906976744, 0.14922480620155038]","[0.4631782945736434, 0.39341085271317827]"
9,im_136,images7,1,1,"[0.4573643410852713, 0.14922480620155038]","[0.4496124031007752, 0.3372093023255814]"
10,im_151,images7,1,1,"[0.4631782945736434, 0.14922480620155038]","[0.4496124031007752, 0.2655038759689923]"
11,im_166,images7,1,1,"[0.4689922480620155, 0.14922480620155038]","[0.45542635658914726, 0.21511627906976744]"
12,im_181,images7,1,1,"[0.45930232558139533, 0.14728682170542637]","[0.45542635658914726, 0.21511627906976744]"
13,im_196,images7,1,1,"[0.4631782945736434, 0.1511627906976744]","[0.4476744186046512, 0.2364341085271318]"
14,im_211,images7,1,1,"[0.46511627906976744, 0.15310077519379844]","[0.46511627906976744, 0.2596899224806202]"
15,im_226,images7,1,1,"[0.46705426356589147, 0.14728682170542637]","[0.4573643410852713, 0.2810077519379845]"
16,im_241,images7,1,1,"[0.47093023255813954, 0.15503875968992248]","[0.45930232558139533, 0.29844961240310075]"
17,im_256,images7,1,1,"[0.4689922480620155, 0.15503875968992248]","[0.46124031007751937, 0.32751937984496127]"
18,im_271,images7,1,1,"[0.4689922480620155, 0.1511627906976744]","[0.45542635658914726, 0.3643410852713178]"
19,im_286,images7,1,1,"[0.46705426356589147, 0.14922480620155038]","[0.4573643410852713, 0.35658914728682173]"
20,im_301,images7,1,1,"[0.46124031007751937, 0.1511627906976744]","[0.46511627906976744, 0.4186046511627907]"
21,im_316,images7,1,1,"[0.4631782945736434, 0.1511627906976744]","[0.46124031007751937, 0.4748062015503876]"
22,im_331,images7,1,1,"[0.4631782945736434, 0.14922480620155038]","[0.46124031007751937, 0.5077519379844961]"
