,name,folder,video_seq,traction,barre,torse
0,im_1,images8,1,1,"[0.4748062015503876, 0.15310077519379844]","[0.46511627906976744, 0.4631782945736434]"
1,im_16,images8,1,1,"[0.47093023255813954, 0.14922480620155038]","[0.4786821705426357, 0.27325581395348836]"
2,im_31,images8,1,1,"[0.4748062015503876, 0.15891472868217055]","[0.4883720930232558, 0.1744186046511628]"
3,im_46,images8,1,1,"[0.46511627906976744, 0.1569767441860465]","[0.4748062015503876, 0.2189922480620155]"
4,im_61,images8,1,1,"[0.4689922480620155, 0.1569767441860465]","[0.4786821705426357, 0.3062015503875969]"
5,im_76,images8,1,1,"[0.4748062015503876, 0.1569767441860465]","[0.46511627906976744, 0.375968992248062]"
6,im_91,images8,1,1,"[0.4728682170542636, 0.15503875968992248]","[0.4631782945736434, 0.44573643410852715]"
7,im_106,images8,1,1,"[0.4748062015503876, 0.1511627906976744]","[0.4689922480620155, 0.43410852713178294]"
8,im_121,images8,1,1,"[0.47093023255813954, 0.15503875968992248]","[0.46705426356589147, 0.48255813953488375]"
9,im_136,images8,1,1,"[0.47093023255813954, 0.1569767441860465]","[0.4631782945736434, 0.45348837209302323]"
10,im_151,images8,1,1,"[0.47093023255813954, 0.14534883720930233]","[0.4844961240310077, 0.312015503875969]"
11,im_166,images8,1,1,"[0.4728682170542636, 0.15503875968992248]","[0.4883720930232558, 0.17054263565891473]"
12,im_181,images8,1,1,"[0.4748062015503876, 0.15503875968992248]","[0.4883720930232558, 0.20348837209302326]"
13,im_196,images8,1,1,"[0.4689922480620155, 0.15503875968992248]","[0.4903100775193798, 0.2693798449612403]"
14,im_211,images8,1,1,"[0.4689922480620155, 0.1569767441860465]","[0.48255813953488375, 0.3313953488372093]"
15,im_226,images8,1,1,"[0.47093023255813954, 0.14728682170542637]","[0.4748062015503876, 0.3856589147286822]"
16,im_241,images8,1,1,"[0.4689922480620155, 0.15503875968992248]","[0.4728682170542636, 0.4321705426356589]"
17,im_256,images8,1,1,"[0.4689922480620155, 0.14534883720930233]","[0.4689922480620155, 0.4844961240310077]"
18,im_271,images8,1,1,"[0.4689922480620155, 0.15310077519379844]","[0.47674418604651164, 0.46705426356589147]"
19,im_286,images8,1,1,"[0.46124031007751937, 0.14922480620155038]","[0.46511627906976744, 0.4631782945736434]"
20,im_301,images8,1,1,"[0.4689922480620155, 0.14922480620155038]","[0.4728682170542636, 0.45542635658914726]"
21,im_316,images8,1,1,"[0.47093023255813954, 0.15503875968992248]","[0.4786821705426357, 0.4418604651162791]"
22,im_331,images8,1,1,"[0.47674418604651164, 0.1569767441860465]","[0.4844961240310077, 0.3062015503875969]"
23,im_346,images8,1,1,"[0.4728682170542636, 0.15891472868217055]","[0.49224806201550386, 0.17248062015503876]"
24,im_361,images8,1,1,"[0.4728682170542636, 0.15891472868217055]","[0.48643410852713176, 0.1744186046511628]"
25,im_376,images8,1,1,"[0.46705426356589147, 0.15503875968992248]","[0.48255813953488375, 0.19186046511627908]"
26,im_391,images8,1,1,"[0.47093023255813954, 0.14922480620155038]","[0.4844961240310077, 0.23255813953488372]"
27,im_406,images8,1,1,"[0.47093023255813954, 0.1511627906976744]","[0.47674418604651164, 0.2693798449612403]"
28,im_421,images8,1,1,"[0.4689922480620155, 0.15891472868217055]","[0.4689922480620155, 0.28875968992248063]"
29,im_436,images8,1,1,"[0.4728682170542636, 0.15310077519379844]","[0.47674418604651164, 0.3430232558139535]"
30,im_451,images8,1,1,"[0.4728682170542636, 0.15503875968992248]","[0.4728682170542636, 0.39147286821705424]"
